"Date" "Value"
"2013-09-03" 76.36
"2013-09-04" 86.14
"2013-09-05" 89.4
"2013-09-06" 90.14
"2013-09-07" 85.76
"2013-09-08" 89.16
"2013-09-09" 85.81
"2013-09-10" 91.07
"2013-09-11" 91.33
"2013-09-12" 96.48
"2013-09-13" 96.4
"2013-09-14" 94.07
"2013-09-15" 86.66
"2013-09-16" 87.36
"2013-09-17" 90.38
"2013-09-18" 88.96
"2013-09-19" 92.34
"2013-09-20" 93.83
"2013-09-21" 85.89
"2013-09-22" 89.5
"2013-09-23" 87.54
"2013-09-24" 89.72
"2013-09-25" 91.16
"2013-09-26" 90.24
"2013-09-27" 80.8
"2013-09-28" 83.3
"2013-09-29" 83.62
"2013-09-30" 80.74
"2013-10-01" 80.67
"2013-10-02" 88.75
"2013-10-03" 86.59
"2013-10-04" 89.21
"2013-10-05" 84.09
"2013-10-06" 81.96
"2013-10-07" 92.18
"2013-10-08" 97.06
"2013-10-09" 96.25
"2013-10-10" 88.72
"2013-10-11" 84.69
"2013-10-12" 83.77
"2013-10-13" 83.23
"2013-10-14" 88.81
"2013-10-15" 85.04
"2013-10-16" 82.85
"2013-10-17" 86.69
"2013-10-18" 84.99
"2013-10-19" 86.25
"2013-10-20" 91.52
"2013-10-21" 88.86
"2013-10-22" 90.86
"2013-10-23" 96.03
"2013-10-24" 94.99
"2013-10-25" 95.6
"2013-10-26" 98.8
"2013-10-27" 100
"2013-10-28" 94.58
"2013-10-29" 97.44
"2013-10-30" 89.39
"2013-10-31" 86.47
"2013-11-01" 85.98
"2013-11-02" 96.15
"2013-11-03" 97.77
"2013-11-04" 86.62
"2013-11-05" 85.1
"2013-11-06" 86.65
"2013-11-07" 94.67
"2013-11-08" 95.94
"2013-11-09" 90.89
"2013-11-10" 98.54
"2013-11-11" 97.23
"2013-11-12" 93.86
"2013-11-13" 99.31
"2013-11-14" 93.44
"2013-11-15" 93.3
"2013-11-16" 89.22
"2013-11-17" 86.25
"2013-11-18" 83.92
"2013-11-19" 85.39
"2013-11-20" 88.31
"2013-11-21" 84.2
"2013-11-22" 85.93
"2013-11-23" 89.86
"2013-11-24" 100
"2013-11-25" 96.32
"2013-11-26" 96.11
"2013-11-27" 96.2
"2013-11-28" 93.69
"2013-11-29" 88.96
"2013-11-30" 84.58
"2013-12-01" 88.07
"2013-12-02" 87.32
"2013-12-03" 85.41
"2013-12-04" 84.94
"2013-12-05" 85.94
"2013-12-06" 85.17
"2013-12-07" 90.35
"2013-12-08" 92.07
"2013-12-09" 89.88
"2013-12-10" 88.73
"2013-12-11" 90.81
"2013-12-12" 98.08
"2013-12-13" 95.34
"2013-12-14" 92.05
"2013-12-15" 95.94
"2013-12-16" 100
"2013-12-17" 100
"2013-12-18" 100
"2013-12-19" 92.91
"2013-12-20" 87.25
"2013-12-21" 83.79
"2013-12-22" 83.76
"2013-12-23" 96.66
"2013-12-24" 95.33
"2013-12-25" 93.8
"2013-12-26" 93.15
"2013-12-27" 94.88
"2013-12-28" 93.42
"2013-12-29" 91.74
"2013-12-30" 88.97
"2013-12-31" 95.49
"2014-01-01" 91.65
"2014-01-02" 92.81
"2014-01-03" 99.51
"2014-01-04" 94.9
"2014-01-05" 87.66
"2014-01-06" 98.27
"2014-01-07" 95.59
"2014-01-08" 84.93
"2014-01-09" 90.59
"2014-01-10" 95.23
"2014-01-11" 89.83
"2014-01-12" 90.68
"2014-01-13" 91.81
"2014-01-14" 92
"2014-01-15" 100
"2014-01-16" 84.66
"2014-01-17" 84.88
"2014-01-18" 86.64
"2014-01-19" 84.65
"2014-01-20" 90.07
"2014-01-21" 91.09
"2014-01-22" 93
"2014-01-23" 85.41
"2014-01-24" 94.34
"2014-01-25" 95.49
"2014-01-26" 89.39
"2014-01-27" 84.4
"2014-01-28" 91.01
"2014-01-29" 94.29
"2014-01-30" 86.81
"2014-01-31" 92.9
"2014-02-01" 82.71
"2014-02-02" 79.46
"2014-02-03" 86.12
"2014-02-04" 82.31
"2014-02-05" 88.27
"2014-02-06" 91
"2014-02-07" 94.47
"2014-02-08" 93.42
"2014-02-09" 95.51
"2014-02-10" 86.45
"2014-02-11" 82.93
"2014-02-12" 92.94
"2014-02-13" 99.49
"2014-02-14" 87.29
"2014-02-15" 91.28
"2014-02-16" 83.45
"2014-02-17" 79.32
"2014-02-18" 80.31
"2014-02-19" 79.4
"2014-02-20" 78.53
"2014-02-21" 81.34
"2014-02-22" 85.18
"2014-02-23" 79.55
"2014-02-24" 78.75
"2014-02-25" 76.61
"2014-02-26" 80.05
"2014-02-27" 87.74
"2014-02-28" 85.72
"2014-03-01" 78.9
"2014-03-02" 68.79
"2014-03-03" 74.04
"2014-03-04" 84.92
"2014-03-05" 85.41
"2014-03-06" 94.82
"2014-03-07" 92.43
"2014-03-08" 83.86
"2014-03-09" 79.91
"2014-03-10" 88.51
"2014-03-11" 87.09
"2014-03-12" 87.77
"2014-03-13" 94.68
"2014-03-14" 84.85
"2014-03-15" 77.1
"2014-03-16" 75.97
"2014-03-17" 93.88
"2014-03-18" 78.26
"2014-03-19" 77.98
"2014-03-20" 79.19
"2014-03-21" 77.95
"2014-03-22" 71.8
"2014-03-23" 72.36
"2014-03-24" 75.26
"2014-03-25" 86.15
"2014-03-26" 80.42
"2014-03-27" 67.54
"2014-03-28" 68.08
"2014-03-29" 73.23
"2014-03-30" 84.47
"2014-03-31" 72.44
"2014-04-01" 66.34
"2014-04-02" 66.29
"2014-04-03" 67.71
"2014-04-04" 71.1
"2014-04-05" 79.17
"2014-04-06" 70.67
"2014-04-07" 68.48
"2014-04-08" 90.49
"2014-04-09" 69.6
"2014-04-10" 73.57
"2014-04-11" 74.86
"2014-04-12" 77.08
"2014-04-13" 67.17
"2014-04-14" 66.06
"2014-04-15" 86.6
"2014-04-16" 90.35
"2014-04-17" 79.45
"2014-04-18" 84.93
"2014-04-19" 88.75
"2014-04-20" 80.74
"2014-04-21" 79.39
"2014-04-22" 85.6
"2014-04-23" 84.18
"2014-04-24" 78.54
"2014-04-25" 74.02
"2014-04-26" 75.34
"2014-04-27" 73.68
"2014-04-28" 75.33
"2014-04-29" 75.5
"2014-04-30" 79.41
"2014-05-01" 89.71
"2014-05-02" 84.33
"2014-05-03" 97.2
"2014-05-04" 85.38
"2014-05-05" 82.99
"2014-05-06" 80.56
"2014-05-07" 75.94
"2014-05-08" 80.94
"2014-05-09" 78.27
"2014-05-10" 84.6
"2014-05-11" 84.85
"2014-05-12" 79.16
"2014-05-13" 77.04
"2014-05-14" 85.98
"2014-05-15" 96.04
"2014-05-16" 92.19
"2014-05-17" 83.19
"2014-05-18" 79.66
"2014-05-19" 84.89
"2014-05-20" 85.05
"2014-05-21" 88.45
"2014-05-22" 87.34
"2014-05-23" 84.5
"2014-05-24" 79.38
"2014-05-25" 78
"2014-05-26" 75.44
"2014-05-27" 75.56
"2014-05-28" 75.43
"2014-05-29" 86.09
"2014-05-30" 88.51
"2014-05-31" 90.71
"2014-06-01" 90.92
"2014-06-02" 95.36
"2014-06-03" 99.46
"2014-06-04" 99.53
"2014-06-05" 95.66
"2014-06-06" 93.36
"2014-06-07" 91.44
"2014-06-08" 89.48
"2014-06-09" 83.08
"2014-06-10" 84.5
"2014-06-11" 84.93
"2014-06-12" 81.79
"2014-06-13" 81.91
"2014-06-14" 84.94
"2014-06-15" 81.34
"2014-06-16" 85.29
"2014-06-17" 85.44
"2014-06-18" 81.82
"2014-06-19" 81.29
"2014-06-20" 80.12
"2014-06-21" 77.58
"2014-06-22" 79.15
"2014-06-23" 80.06
"2014-06-24" 78.56
"2014-06-25" 74.18
"2014-06-26" 70.74
"2014-06-27" 72
"2014-06-28" 74.47
"2014-06-29" 75.8
"2014-06-30" 86.32
"2014-07-01" 83.09
"2014-07-02" 79.53
"2014-07-03" 86.76
"2014-07-04" 96.15
"2014-07-05" 84.71
"2014-07-06" 90.03
"2014-07-07" 79.94
"2014-07-08" 79.88
"2014-07-09" 79.32
"2014-07-10" 70.5
"2014-07-11" 80.96
"2014-07-12" 86.17
"2014-07-13" 88.53
"2014-07-14" 93.2
"2014-07-15" 84.95
"2014-07-16" 79.54
"2014-07-17" 78.2
"2014-07-18" 76.01
"2014-07-19" 73.6
"2014-07-20" 76.48
"2014-07-21" 76.95
"2014-07-22" 76.89
"2014-07-23" 83.55
"2014-07-24" 77.53
"2014-07-25" 82.96
"2014-07-26" 83.38
"2014-07-27" 79.16
"2014-07-28" 83.04
"2014-07-29" 86.62
"2014-07-30" 78.44
"2014-07-31" 73.03
"2014-08-01" 73.74
"2014-08-02" 74.57
"2014-08-03" 74.89
"2014-08-04" 81.02
"2014-08-05" 81.04
"2014-08-06" 82.1
"2014-08-07" 73.32
"2014-08-08" 71.6
"2014-08-09" 75.27
"2014-08-10" 87.03
