"Date" "Value"
"2013-09-03" 603.66
"2013-09-04" 492.61
"2013-09-05" 478.49
"2013-09-06" 390.46
"2013-09-07" 560.86
"2013-09-08" 428.35
"2013-09-09" 528.74
"2013-09-10" 492.49
"2013-09-11" 573.55
"2013-09-12" 281.16
"2013-09-13" 186.04
"2013-09-14" 182.79
"2013-09-15" 389.05
"2013-09-16" 489.75
"2013-09-17" 380.23
"2013-09-18" 546.36
"2013-09-19" 514.45
"2013-09-20" 288.39
"2013-09-21" 471.98
"2013-09-22" 435.11
"2013-09-23" 485.75
"2013-09-24" 420.06
"2013-09-25" 537.45
"2013-09-26" 466.22
"2013-09-27" 633.7
"2013-09-28" 634.64
"2013-09-29" 586.21
"2013-09-30" 577.53
"2013-10-01" 601.67
"2013-10-02" 457.99
"2013-10-03" 542.54
"2013-10-04" 542.49
"2013-10-05" 617.18
"2013-10-06" 631.26
"2013-10-07" 444.4
"2013-10-08" 323.78
"2013-10-09" 264.23
"2013-10-10" 494.35
"2013-10-11" 612.74
"2013-10-12" 608.96
"2013-10-13" 605.2
"2013-10-14" 577.27
"2013-10-15" 570.95
"2013-10-16" 611.36
"2013-10-17" 531.17
"2013-10-18" 586.09
"2013-10-19" 531.56
"2013-10-20" 535.92
"2013-10-21" 557.69
"2013-10-22" 445.09
"2013-10-23" 333.92
"2013-10-24" 406.98
"2013-10-25" 310
"2013-10-26" 227.21
"2013-10-27" NA
"2013-10-28" 447.36
"2013-10-29" 349.19
"2013-10-30" 550.73
"2013-10-31" 571.43
"2013-11-01" 559.15
"2013-11-02" 302.04
"2013-11-03" 206.52
"2013-11-04" 488.25
"2013-11-05" 527.41
"2013-11-06" 486.85
"2013-11-07" 289.18
"2013-11-08" 500.78
"2013-11-09" 415.96
"2013-11-10" 237.62
"2013-11-11" 322.72
"2013-11-12" 326.81
"2013-11-13" 302.09
"2013-11-14" 274.28
"2013-11-15" 313.1
"2013-11-16" 428.57
"2013-11-17" 510.05
"2013-11-18" 562.61
"2013-11-19" 516.69
"2013-11-20" 464.39
"2013-11-21" 552.13
"2013-11-22" 543.53
"2013-11-23" 380.95
"2013-11-24" 184.13
"2013-11-25" 278.8
"2013-11-26" 208.27
"2013-11-27" 205.95
"2013-11-28" 182.1
"2013-11-29" 242.27
"2013-11-30" 457.2
"2013-12-01" 389.44
"2013-12-02" 400.92
"2013-12-03" 537.18
"2013-12-04" 524.79
"2013-12-05" 520.21
"2013-12-06" 482.51
"2013-12-07" 363.1
"2013-12-08" 403.59
"2013-12-09" 457.02
"2013-12-10" 437.81
"2013-12-11" 314.73
"2013-12-12" 234.8
"2013-12-13" 310.96
"2013-12-14" 408.71
"2013-12-15" 282.45
"2013-12-16" 74.79
"2013-12-17" 98.54
"2013-12-18" 94.82
"2013-12-19" 355.29
"2013-12-20" 469.73
"2013-12-21" 516.03
"2013-12-22" 508.3
"2013-12-23" 230.15
"2013-12-24" 322.62
"2013-12-25" 343.69
"2013-12-26" 278.66
"2013-12-27" 205.51
"2013-12-28" 317.2
"2013-12-29" 344.65
"2013-12-30" 462.85
"2013-12-31" 220.53
"2014-01-01" 254.2
"2014-01-02" 390.23
"2014-01-03" 116.88
"2014-01-04" 226.18
"2014-01-05" 485.46
"2014-01-06" 179.36
"2014-01-07" 112.7
"2014-01-08" 467.25
"2014-01-09" 269.34
"2014-01-10" 283
"2014-01-11" 519
"2014-01-12" 388.78
"2014-01-13" 453.69
"2014-01-14" 407.09
"2014-01-15" 81.62
"2014-01-16" 376.11
"2014-01-17" 364.37
"2014-01-18" 322.42
"2014-01-19" 386.48
"2014-01-20" 443.77
"2014-01-21" 389.54
"2014-01-22" 281.47
"2014-01-23" 538.99
"2014-01-24" 251.99
"2014-01-25" 207.47
"2014-01-26" 307.33
"2014-01-27" 574.7
"2014-01-28" 403.71
"2014-01-29" 113.25
"2014-01-30" 378.5
"2014-01-31" 284.84
"2014-02-01" 549.16
"2014-02-02" 560.47
"2014-02-03" 511.12
"2014-02-04" 547.36
"2014-02-05" 463.3
"2014-02-06" 371.39
"2014-02-07" 214.28
"2014-02-08" 361.31
"2014-02-09" 331.75
"2014-02-10" 563.48
"2014-02-11" 590.38
"2014-02-12" 342.53
"2014-02-13" 136.84
"2014-02-14" 592.57
"2014-02-15" 440.7
"2014-02-16" 568.96
"2014-02-17" 621.68
"2014-02-18" 558.23
"2014-02-19" 612.98
"2014-02-20" 620.55
"2014-02-21" 562.77
"2014-02-22" 480.58
"2014-02-23" 605.33
"2014-02-24" 534.99
"2014-02-25" 634.1
"2014-02-26" 610.56
"2014-02-27" 413.88
"2014-02-28" 470.39
"2014-03-01" 602.92
"2014-03-02" 651.07
"2014-03-03" 623.07
"2014-03-04" 503.04
"2014-03-05" 471.63
"2014-03-06" 336.93
"2014-03-07" 357.53
"2014-03-08" 600.86
"2014-03-09" 629.66
"2014-03-10" 490.65
"2014-03-11" 482.18
"2014-03-12" 467.17
"2014-03-13" 145.22
"2014-03-14" 492.17
"2014-03-15" 631.63
"2014-03-16" 636.65
"2014-03-17" 120.71
"2014-03-18" 618.31
"2014-03-19" 635.58
"2014-03-20" 601.45
"2014-03-21" 600.78
"2014-03-22" 654.94
"2014-03-23" 656.87
"2014-03-24" 644.35
"2014-03-25" 416.29
"2014-03-26" 528.98
"2014-03-27" 648.7
"2014-03-28" 643.47
"2014-03-29" 627.41
"2014-03-30" 537.55
"2014-03-31" 640.81
"2014-04-01" 662.87
"2014-04-02" 662.16
"2014-04-03" 634.06
"2014-04-04" 631.95
"2014-04-05" 617.63
"2014-04-06" 619.26
"2014-04-07" 581.61
"2014-04-08" 102.78
"2014-04-09" 598.78
"2014-04-10" 640.23
"2014-04-11" 526.85
"2014-04-12" 520.84
"2014-04-13" 669.43
"2014-04-14" 636.49
"2014-04-15" 484.47
"2014-04-16" 295.19
"2014-04-17" 648.54
"2014-04-18" 547.93
"2014-04-19" 473.94
"2014-04-20" 633.17
"2014-04-21" 651.97
"2014-04-22" 478.45
"2014-04-23" 508.23
"2014-04-24" 612.84
"2014-04-25" 592.28
"2014-04-26" 636.98
"2014-04-27" 580.96
