"Date" "Value"
"2007-11-09" 3.8
"2007-11-10" 0.2
"2007-11-11" 0
"2007-11-12" 0
"2007-11-13" 0
"2007-11-14" 0
"2007-11-15" 0
"2007-11-16" 0
"2007-11-17" 0
"2007-11-18" 0
"2007-11-19" 0
"2007-11-20" 0
"2007-11-21" 0
"2007-11-22" 0
"2007-11-23" 0
"2007-11-24" 0
"2007-11-25" 0
"2007-11-26" 0.6
"2007-11-27" 0
"2007-11-28" NA
"2007-11-29" 0
"2007-11-30" 1
"2007-12-01" 0
"2007-12-02" 43
"2007-12-03" 1.8
"2007-12-04" 1.4
"2007-12-05" 36.8
"2007-12-06" 0
"2007-12-07" 0
"2007-12-08" 0
"2007-12-09" 0
"2007-12-10" 0
"2007-12-11" 0
"2007-12-12" 0
"2007-12-13" 0
"2007-12-14" 0.4
"2007-12-15" 0
"2007-12-16" 0
"2007-12-17" 0
"2007-12-18" 0
"2007-12-19" 0
"2007-12-20" 0
"2007-12-21" 0
"2007-12-22" 0
"2007-12-23" 0
"2007-12-24" 0
"2007-12-25" 0
"2007-12-26" 0
"2007-12-27" 0
"2007-12-28" 0
"2007-12-29" 0
"2007-12-30" 0
"2007-12-31" 8.8
"2008-01-01" 0.2
"2008-01-02" 0
"2008-01-03" 0
"2008-01-04" 0
"2008-01-05" 0
"2008-01-06" 0
"2008-01-07" 0
"2008-01-08" 0
"2008-01-09" 0
"2008-01-10" 6.6
"2008-01-11" 0.4
"2008-01-12" 0
"2008-01-13" 0.4
"2008-01-14" 0
"2008-01-15" 0
"2008-01-16" 0
"2008-01-17" 0
"2008-01-18" 0
"2008-01-19" 0
"2008-01-20" 0
"2008-01-21" 0
"2008-01-22" 0
"2008-01-23" 0
"2008-01-24" 0
"2008-01-25" 0
"2008-01-26" 0
"2008-01-27" 0
"2008-01-28" 0
"2008-01-29" 0
"2008-01-30" 1
"2008-01-31" 0
"2008-02-01" 0
"2008-02-02" 0
"2008-02-03" 0
"2008-02-04" 0
"2008-02-05" 0
"2008-02-06" 1.8
"2008-02-07" 30.2
"2008-02-08" 0.2
"2008-02-09" 10.6
"2008-02-10" 0
"2008-02-11" 0
"2008-02-12" 0
"2008-02-13" 0
"2008-02-14" 5
"2008-02-15" 0
"2008-02-16" 0
"2008-02-17" 0
"2008-02-18" 0.8
"2008-02-19" 0
"2008-02-20" 21.4
"2008-02-21" 0.2
"2008-02-22" 11.2
"2008-02-23" 10
"2008-02-24" 0
"2008-02-25" 0
"2008-02-26" 0
"2008-02-27" 0
"2008-02-28" 9.8
"2008-02-29" 0
"2008-03-01" 0
"2008-03-02" 0
"2008-03-03" 0
"2008-03-04" 0
"2008-03-05" 0
"2008-03-06" 0
"2008-03-07" 0.2
"2008-03-08" 0
"2008-03-09" 0
"2008-03-10" 0
"2008-03-11" 3.4
