"Date" "Value"
"2007-11-09" 73.82
"2007-11-10" 80.28
"2007-11-11" 80.28
"2007-11-12" 75.05
"2007-11-13" 82.16
"2007-11-14" 82.59
"2007-11-15" 82.94
"2007-11-16" 71.52
"2007-11-17" 78.94
"2007-11-18" 82.43
"2007-11-19" 73.67
"2007-11-20" 72.33
"2007-11-21" 77.29
"2007-11-22" 78.53
"2007-11-23" 80.1
"2007-11-24" 78.02
"2007-11-25" 82.04
"2007-11-26" 82.07
"2007-11-27" 77.75
"2007-11-28" 83.72
"2007-11-29" 84.94
"2007-11-30" 79.78
"2007-12-01" 80.56
"2007-12-02" 88.93
"2007-12-03" 83.38
"2007-12-04" 82.97
"2007-12-05" 89.85
"2007-12-06" 77.8
"2007-12-07" 78.78
"2007-12-08" 77.38
"2007-12-09" 73.36
"2007-12-10" 74.43
"2007-12-11" 78.72
"2007-12-12" 78.25
"2007-12-13" 77.33
"2007-12-14" 80.91
"2007-12-15" 79.79
"2007-12-16" 84.09
"2007-12-17" 74.9
"2007-12-18" 78.85
"2007-12-19" 81.62
"2007-12-20" 80.48
"2007-12-21" 81.29
"2007-12-22" 78.3
"2007-12-23" 74.57
"2007-12-24" 73.26
"2007-12-25" 78.4
"2007-12-26" 75.96
"2007-12-27" 76.89
"2007-12-28" 70.18
"2007-12-29" 76.3
"2007-12-30" 73.21
"2007-12-31" 80.12
"2008-01-01" 75.02
"2008-01-02" 77.62
"2008-01-03" 76.83
"2008-01-04" 76.34
"2008-01-05" 76.26
"2008-01-06" 74.52
"2008-01-07" 77.04
"2008-01-08" 77.67
"2008-01-09" 82.37
"2008-01-10" 80.08
"2008-01-11" 84.32
"2008-01-12" 83.33
"2008-01-13" 83.11
"2008-01-14" 80.53
"2008-01-15" 77.4
"2008-01-16" 76.12
"2008-01-17" 71.59
"2008-01-18" 76.28
"2008-01-19" 80.41
"2008-01-20" 75.75
"2008-01-21" 73.7
"2008-01-22" 73.03
"2008-01-23" 65.56
"2008-01-24" 69.59
"2008-01-25" 72.23
"2008-01-26" 79.46
"2008-01-27" 78.03
"2008-01-28" 71.72
"2008-01-29" 68.66
"2008-01-30" 79.77
"2008-01-31" 80.33
"2008-02-01" 75.6
"2008-02-02" 70.38
"2008-02-03" 74.59
"2008-02-04" 73.72
"2008-02-05" 64.22
"2008-02-06" 73.54
"2008-02-07" 88.23
"2008-02-08" 80.09
"2008-02-09" 84.66
"2008-02-10" 78.31
"2008-02-11" 75.68
"2008-02-12" 75.79
"2008-02-13" 79.16
"2008-02-14" 79.38
"2008-02-15" 76.08
"2008-02-16" 81.09
"2008-02-17" 78.41
"2008-02-18" 85.92
"2008-02-19" 84.24
"2008-02-20" 89.7
"2008-02-21" 86.62
"2008-02-22" 84.63
"2008-02-23" 85.06
"2008-02-24" 82.51
"2008-02-25" 79.12
"2008-02-26" 77.8
"2008-02-27" 77.16
"2008-02-28" 79.11
"2008-02-29" 75.12
"2008-03-01" 73.73
"2008-03-02" 73.26
"2008-03-03" 75.09
"2008-03-04" 76.67
"2008-03-05" 79.19
"2008-03-06" 77.44
"2008-03-07" 70.79
"2008-03-08" 72.96
"2008-03-09" 67.72
"2008-03-10" 77.1
"2008-03-11" 84.57
"2008-03-12" 84.38
"2008-03-13" 83.56
"2008-03-14" 82.56
"2008-03-15" 83.64
"2008-03-16" 82.55
"2008-03-17" 79.6
"2008-03-18" 78.54
"2008-03-19" 78.2
"2008-03-20" 83.95
"2008-03-21" 83.89
"2008-03-22" 86.45
"2008-03-23" 79.26
"2008-03-24" 74.96
"2008-03-25" 74.1
"2008-03-26" 81.78
"2008-03-27" 80.22
"2008-03-28" 79.6
"2008-03-29" 76.48
"2008-03-30" 79.35
"2008-03-31" 76.13
"2008-04-01" 75.43
"2008-04-02" 77.91
"2008-04-03" 80.07
"2008-04-04" 89.18
"2008-04-05" 87.92
"2008-04-06" 83.09
"2008-04-07" 87.12
"2008-04-08" 88.2
"2008-04-09" 84.07
"2008-04-10" 84.28
"2008-04-11" 86.44
"2008-04-12" 84.44
"2008-04-13" 85.22
"2008-04-14" 76.81
"2008-04-15" 80.98
"2008-04-16" 82.12
"2008-04-17" 77.69
"2008-04-18" 75.26
"2008-04-19" 80.06
"2008-04-20" 77.54
"2008-04-21" 84.35
"2008-04-22" 85.8
"2008-04-23" 87.29
"2008-04-24" 80.25
"2008-04-25" 81.65
"2008-04-26" 80.6
"2008-04-27" 79.92
"2008-04-28" 81.84
"2008-04-29" 87.37
"2008-04-30" 75.07
"2008-05-01" 80.24
"2008-05-02" 81.09
"2008-05-03" 79.16
"2008-05-04" 83.41
"2008-05-05" 86.53
"2008-05-06" 81.4
"2008-05-07" 85.32
"2008-05-08" 82.03
"2008-05-09" 81.34
"2008-05-10" 84.66
"2008-05-11" 77.75
"2008-05-12" 88.34
"2008-05-13" 81.24
"2008-05-14" 81.9
"2008-05-15" 83.16
"2008-05-16" 80.71
"2008-05-17" 77.76
"2008-05-18" 87.43
"2008-05-19" 77.44
"2008-05-20" 81.35
"2008-05-21" 82.63
"2008-05-22" 81.7
"2008-05-23" 75.91
"2008-05-24" 79.08
"2008-05-25" 90.36
"2008-05-26" 91.81
"2008-05-27" 89.98
"2008-05-28" 85.72
"2008-05-29" 82.84
"2008-05-30" 91.31
"2008-05-31" 91.32
"2008-06-01" 94.46
"2008-06-02" 96.85
"2008-06-03" 97.45
"2008-06-04" 96.67
"2008-06-05" 89.72
"2008-06-06" 91.59
"2008-06-07" 85.43
"2008-06-08" 85.04
"2008-06-09" 86.39
"2008-06-10" 89.9
"2008-06-11" 82.76
"2008-06-12" 79.64
"2008-06-13" 83.86
"2008-06-14" 89.1
"2008-06-15" 86.08
"2008-06-16" 88.41
"2008-06-17" 83.05
"2008-06-18" 86.52
"2008-06-19" 86.74
"2008-06-20" 85.49
"2008-06-21" 82.74
"2008-06-22" 79.59
"2008-06-23" 78.19
"2008-06-24" 86.44
"2008-06-25" 91.15
"2008-06-26" 84.36
"2008-06-27" 83.39
"2008-06-28" 86.05
"2008-06-29" 86.55
"2008-06-30" 85.85
"2008-07-01" 93.17
"2008-07-02" 84.79
"2008-07-03" 87.07
"2008-07-04" 84.76
"2008-07-05" 87.27
"2008-07-06" 88.92
"2008-07-07" 88.77
"2008-07-08" 87.1
"2008-07-09" 88.38
"2008-07-10" 82.5
"2008-07-11" 87.31
"2008-07-12" 89.94
"2008-07-13" 81.27
"2008-07-14" 91.02
"2008-07-15" 87.7
"2008-07-16" 84.15
"2008-07-17" 83.83
"2008-07-18" 82.51
"2008-07-19" 90.34
"2008-07-20" 88.74
"2008-07-21" 87.59
"2008-07-22" 83.97
"2008-07-23" 83.74
"2008-07-24" 87.97
"2008-07-25" 78.79
"2008-07-26" 84.03
"2008-07-27" 76.5
"2008-07-28" 77.11
"2008-07-29" 86.42
"2008-07-30" 81.62
"2008-07-31" 86.27
"2008-08-01" 88.85
"2008-08-02" 81.49
"2008-08-03" 88.42
"2008-08-04" 83.66
"2008-08-05" 84.03
"2008-08-06" 80.44
"2008-08-07" 82.98
"2008-08-08" 84.67
"2008-08-09" 86.56
"2008-08-10" 87.69
"2008-08-11" 82.59
"2008-08-12" 83.72
"2008-08-13" 89.18
"2008-08-14" 86.1
"2008-08-15" 86.93
"2008-08-16" 84.99
"2008-08-17" 87.69
"2008-08-18" 84.95
"2008-08-19" 84.57
"2008-08-20" 88.31
"2008-08-21" 89.45
"2008-08-22" 87.64
"2008-08-23" 82.2
"2008-08-24" 86.55
"2008-08-25" 85.86
"2008-08-26" 90.95
"2008-08-27" 93.68
"2008-08-28" 86.81
"2008-08-29" 86.98
"2008-08-30" 86.81
"2008-08-31" 89.59
"2008-09-01" 90.55
"2008-09-02" 87.76
"2008-09-03" 87.85
"2008-09-04" 92.67
"2008-09-05" 90.6
"2008-09-06" 92.21
"2008-09-07" 81.27
"2008-09-08" 84.18
"2008-09-09" 86.7
"2008-09-10" 85.01
"2008-09-11" 83.49
"2008-09-12" 83.34
"2008-09-13" 86.22
"2008-09-14" 83.1
"2008-09-15" 77.34
"2008-09-16" 86.01
"2008-09-17" 90.39
"2008-09-18" 86.3
"2008-09-19" 92.23
"2008-09-20" 84.15
"2008-09-21" 85.47
"2008-09-22" 90.99
"2008-09-23" 92.81
"2008-09-24" 91.06
"2008-09-25" 84.98
"2008-09-26" 87.47
"2008-09-27" 99
"2008-09-28" 95.87
"2008-09-29" 86.32
"2008-09-30" 89.5
"2008-10-01" 90.16
"2008-10-02" 87.29
"2008-10-03" 89.12
"2008-10-04" 88.41
"2008-10-05" 89.65
"2008-10-06" 88.6
"2008-10-07" 88.67
"2008-10-08" 89.08
"2008-10-09" 88.29
"2008-10-10" 88.91
"2008-10-11" 88.5
"2008-10-12" 91.76
"2008-10-13" 86.42
"2008-10-14" 87.29
"2008-10-15" 90.64
"2008-10-16" 93.55
"2008-10-17" 90.04
"2008-10-18" 94.6
"2008-10-19" 91.45
"2008-10-20" 91.86
"2008-10-21" 87.56
"2008-10-22" 85.91
"2008-10-23" 85.38
"2008-10-24" 88.6
"2008-10-25" 86.26
"2008-10-26" 93.14
"2008-10-27" 83.36
"2008-10-28" 80.98
"2008-10-29" 79.49
"2008-10-30" 79.46
"2008-10-31" 81.56
"2008-11-01" 83.18
"2008-11-02" 82.06
"2008-11-03" 80.48
"2008-11-04" 79.7
"2008-11-05" 75.92
"2008-11-06" 77.88
"2008-11-07" 77.43
"2008-11-08" 78.76
"2008-11-09" 78.27
"2008-11-10" 80.11
"2008-11-11" 81.88
"2008-11-12" 82.09
"2008-11-13" 80.23
"2008-11-14" 79.67
"2008-11-15" 79.16
"2008-11-16" 77.02
"2008-11-17" 77.74
"2008-11-18" 84.27
"2008-11-19" 76.66
"2008-11-20" 77.74
"2008-11-21" 81.19
"2008-11-22" 80.52
"2008-11-23" 76.88
"2008-11-24" 78.62
"2008-11-25" 77.33
"2008-11-26" 79.62
"2008-11-27" 83.01
"2008-11-28" 83.73
"2008-11-29" 81.76
"2008-11-30" 83.51
"2008-12-01" 82.53
"2008-12-02" 82.91
"2008-12-03" 82.76
"2008-12-04" 81.91
"2008-12-05" 77.52
"2008-12-06" 78.44
"2008-12-07" 79.7
"2008-12-08" 76.01
"2008-12-09" 79.2
"2008-12-10" 71.8
"2008-12-11" 68.46
"2008-12-12" 79.78
"2008-12-13" 80.72
"2008-12-14" 76.71
"2008-12-15" 83.79
"2008-12-16" 75.73
"2008-12-17" 75.55
"2008-12-18" 78.41
"2008-12-19" 72.39
"2008-12-20" 70.84
"2008-12-21" 81.27
"2008-12-22" 79.72
"2008-12-23" 75.53
"2008-12-24" 77.48
"2008-12-25" 74.57
"2008-12-26" 70.99
"2008-12-27" 74.46
"2008-12-28" 77.57
"2008-12-29" 78.66
"2008-12-30" 77.88
"2008-12-31" 84.56
"2009-01-01" 84.29
"2009-01-02" 78.24
"2009-01-03" 75.89
"2009-01-04" 67.74
"2009-01-05" 77.91
"2009-01-06" 74.47
"2009-01-07" 73.14
"2009-01-08" 75.48
"2009-01-09" 69.79
"2009-01-10" 77.12
"2009-01-11" 78.8
"2009-01-12" 72.18
"2009-01-13" 77.67
"2009-01-14" 81.15
"2009-01-15" 76.98
"2009-01-16" 78.27
"2009-01-17" 76.25
"2009-01-18" 75.42
"2009-01-19" 80.81
"2009-01-20" 82.1
"2009-01-21" 79.76
"2009-01-22" 82.24
"2009-01-23" 71.09
"2009-01-24" 77.69
"2009-01-25" 72.46
"2009-01-26" 75.53
"2009-01-27" 69.07
"2009-01-28" 72.61
"2009-01-29" 76.74
"2009-01-30" 78.41
"2009-01-31" 74.3
"2009-02-01" 73.74
"2009-02-02" 78.62
"2009-02-03" 77.3
"2009-02-04" 73.71
"2009-02-05" 72.61
"2009-02-06" 68.47
"2009-02-07" 70.07
"2009-02-08" 66.15
"2009-02-09" 70.01
"2009-02-10" 71.58
"2009-02-11" 75.55
"2009-02-12" 69.66
"2009-02-13" 64.12
"2009-02-14" 81.45
"2009-02-15" 82.24
"2009-02-16" 84.61
"2009-02-17" 76.45
"2009-02-18" 73.88
"2009-02-19" 62.49
"2009-02-20" 64.27
"2009-02-21" 68.26
"2009-02-22" 74.67
"2009-02-23" 62.22
"2009-02-24" 79.31
"2009-02-25" 71.91
"2009-02-26" 73.34
"2009-02-27" 67.85
"2009-02-28" 72.31
"2009-03-01" 68.99
"2009-03-02" 68.7
"2009-03-03" 73.9
"2009-03-04" 69.65
"2009-03-05" 66.96
"2009-03-06" 50.45
"2009-03-07" 52.66
"2009-03-08" 64.19
"2009-03-09" 69.45
"2009-03-10" 71.68
"2009-03-11" 73.69
"2009-03-12" 79.59
"2009-03-13" 80.98
"2009-03-14" 82.04
"2009-03-15" 73.68
"2009-03-16" 73.45
"2009-03-17" 79.23
"2009-03-18" 73.35
"2009-03-19" 76.22
"2009-03-20" 79.11
"2009-03-21" 73.09
"2009-03-22" 67.88
"2009-03-23" 77.74
"2009-03-24" 81.62
"2009-03-25" 74.51
"2009-03-26" 67.17
"2009-03-27" 71.43
"2009-03-28" 74.36
"2009-03-29" 80.49
"2009-03-30" 78.04
"2009-03-31" 78.7
"2009-04-01" 83.4
"2009-04-02" 78.02
"2009-04-03" 82.29
"2009-04-04" 77.15
"2009-04-05" 78.25
"2009-04-06" 72.91
"2009-04-07" 73.7
"2009-04-08" 77.17
"2009-04-09" 76.06
"2009-04-10" 71.48
"2009-04-11" 72.91
"2009-04-12" 76.68
"2009-04-13" 70.64
"2009-04-14" 71.55
"2009-04-15" 70.74
"2009-04-16" 73.83
"2009-04-17" 81.41
"2009-04-18" 79.33
"2009-04-19" 70.82
"2009-04-20" 71.65
"2009-04-21" 70.14
"2009-04-22" 66.92
"2009-04-23" 64.98
"2009-04-24" 76.59
"2009-04-25" 73.57
"2009-04-26" 77.74
"2009-04-27" 75.82
"2009-04-28" 72.79
"2009-04-29" 71.39
"2009-04-30" 79.81
"2009-05-01" 78.65
"2009-05-02" 77.2
"2009-05-03" 79.95
"2009-05-04" 77.82
"2009-05-05" 91.17
"2009-05-06" 87.34
"2009-05-07" 87.07
"2009-05-08" 84.11
"2009-05-09" 82.69
"2009-05-10" 79.98
"2009-05-11" 77.53
"2009-05-12" 82.84
"2009-05-13" 81.23
"2009-05-14" 81.57
"2009-05-15" 86.55
"2009-05-16" 85.9
"2009-05-17" 87.38
"2009-05-18" 88.49
"2009-05-19" 83.21
"2009-05-20" 81.85
"2009-05-21" 77.03
"2009-05-22" 79.85
"2009-05-23" 86.61
"2009-05-24" 81.25
"2009-05-25" 81.22
"2009-05-26" 81.74
"2009-05-27" 82.64
"2009-05-28" 87.69
"2009-05-29" 88.43
"2009-05-30" 85.57
"2009-05-31" 85.82
"2009-06-01" 84.87
"2009-06-02" NA
"2009-06-03" NA
"2009-06-04" NA
"2009-06-05" NA
"2009-06-06" NA
"2009-06-07" NA
"2009-06-08" NA
"2009-06-09" NA
"2009-06-10" NA
"2009-06-11" NA
"2009-06-12" NA
"2009-06-13" NA
"2009-06-14" NA
"2009-06-15" NA
"2009-06-16" NA
"2009-06-17" NA
"2009-06-18" NA
"2009-06-19" NA
"2009-06-20" NA
"2009-06-21" NA
"2009-06-22" NA
"2009-06-23" NA
"2009-06-24" NA
"2009-06-25" NA
"2009-06-26" NA
"2009-06-27" NA
"2009-06-28" NA
"2009-06-29" NA
"2009-06-30" NA
"2009-07-01" 89.62
"2009-07-02" 87.22
"2009-07-03" 85
"2009-07-04" 76.89
"2009-07-05" 83.94
"2009-07-06" 89.33
"2009-07-07" 86.99
"2009-07-08" 83.59
"2009-07-09" 91.42
"2009-07-10" 85.02
"2009-07-11" 85
