"Date" "Value"
"2007-11-09" 556.83
"2007-11-10" 422.36
"2007-11-11" 490.72
"2007-11-12" 531.13
"2007-11-13" 358.47
"2007-11-14" 528.05
"2007-11-15" 425.62
"2007-11-16" 548.62
"2007-11-17" 542.35
"2007-11-18" 479.17
"2007-11-19" 534.73
"2007-11-20" 509.65
"2007-11-21" 501.2
"2007-11-22" 489.1
"2007-11-23" 463.5
"2007-11-24" 495.47
"2007-11-25" 528.85
"2007-11-26" 504.24
"2007-11-27" 444.72
"2007-11-28" 490.07
"2007-11-29" 509.36
"2007-11-30" 444.2
"2007-12-01" 503.86
"2007-12-02" 347.22
"2007-12-03" 475.23
"2007-12-04" 468.8
"2007-12-05" 334.45
"2007-12-06" 527.58
"2007-12-07" 502.27
"2007-12-08" 492.33
"2007-12-09" 513.23
"2007-12-10" 516
"2007-12-11" 499.11
"2007-12-12" 472.67
"2007-12-13" 489.91
"2007-12-14" 494.58
"2007-12-15" 463.83
"2007-12-16" 464.61
"2007-12-17" 505
"2007-12-18" 484.46
"2007-12-19" 453.79
"2007-12-20" 506.26
"2007-12-21" 497.34
"2007-12-22" 461.48
"2007-12-23" 505.03
"2007-12-24" 495.5
"2007-12-25" 506.47
"2007-12-26" 492.65
"2007-12-27" 468.02
"2007-12-28" 487.41
"2007-12-29" 478.78
"2007-12-30" 522.28
"2007-12-31" 449.42
"2008-01-01" 508.26
"2008-01-02" 494.92
"2008-01-03" 481.89
"2008-01-04" 508.13
"2008-01-05" 506.08
"2008-01-06" 490.83
"2008-01-07" 494.37
"2008-01-08" 480.46
"2008-01-09" 416.57
"2008-01-10" 368.91
"2008-01-11" 479.07
"2008-01-12" 459.08
"2008-01-13" 457.61
"2008-01-14" 435.88
"2008-01-15" 427.5
"2008-01-16" 516.26
"2008-01-17" 491.66
"2008-01-18" 511.91
"2008-01-19" 463.48
"2008-01-20" 463.06
"2008-01-21" 530.06
"2008-01-22" 461.57
"2008-01-23" 538.94
"2008-01-24" 544.88
"2008-01-25" 443.66
"2008-01-26" 451.28
"2008-01-27" 533.68
"2008-01-28" 545.04
"2008-01-29" 550.46
"2008-01-30" 438.76
"2008-01-31" 354.99
"2008-02-01" 518.31
"2008-02-02" 510.05
"2008-02-03" 466.39
"2008-02-04" 436.68
"2008-02-05" 415.94
"2008-02-06" 378.21
"2008-02-07" 309.9
"2008-02-08" 467.51
"2008-02-09" 451.98
"2008-02-10" 549.43
"2008-02-11" 492.14
"2008-02-12" 468.39
"2008-02-13" 530.9
"2008-02-14" 470.42
"2008-02-15" 434.84
"2008-02-16" 383
"2008-02-17" 409.07
"2008-02-18" 348.82
"2008-02-19" 353.08
"2008-02-20" 358.75
"2008-02-21" 219.3
"2008-02-22" 380.29
"2008-02-23" 363.44
"2008-02-24" 420.57
"2008-02-25" 445.2
"2008-02-26" 538.92
"2008-02-27" 499.26
"2008-02-28" 501.7
"2008-02-29" 512.75
"2008-03-01" 481.22
"2008-03-02" 424.5
"2008-03-03" 406.37
"2008-03-04" 441.29
"2008-03-05" 320.15
"2008-03-06" 425.68
"2008-03-07" 563.25
"2008-03-08" 554.29
"2008-03-09" 606.3
"2008-03-10" 430.57
"2008-03-11" 380.58
"2008-03-12" 466.77
"2008-03-13" 402.32
"2008-03-14" 371.26
"2008-03-15" 396.28
"2008-03-16" 471.93
"2008-03-17" 340.5
"2008-03-18" 465.8
"2008-03-19" 502.65
"2008-03-20" 498.12
"2008-03-21" 470.72
"2008-03-22" 493.2
"2008-03-23" 467.81
"2008-03-24" 466.22
"2008-03-25" 502.91
"2008-03-26" 525.56
"2008-03-27" 549.2
"2008-03-28" 317.09
"2008-03-29" 522.28
"2008-03-30" 295.98
"2008-03-31" 458.67
"2008-04-01" 534.98
"2008-04-02" 527.09
"2008-04-03" 424.36
"2008-04-04" 441.41
"2008-04-05" 392.7
"2008-04-06" 448.74
"2008-04-07" 470.99
"2008-04-08" 383.14
"2008-04-09" 509.96
"2008-04-10" 426.87
